Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Science Graduate/Undergraduate - Immed Start!,$97K - $141K (Glassdoor Est.),"Be part of the Award Winning CIMIC Graduate Program
CIMIC Group invests in future leaders by providing graduates with exposure to a global organisation across multiple industries. The CIMIC Group graduate program gives graduates the opportunity to learn and develop whilst working on some of the worlds’ most iconic construction, mining, mineral processing, services, and public private partnership projects – you’ll be part of something BIGGER.
Graduates enter the program working at one of the CIMIC Group Operating Companies: CPB Contractors, Leighton Asia, Sedgman, UGL or EIC Activities. Over the course of the program rotations and industry exposure activities are also available at CIMIC and Pacific Partnerships.
Graduates receive structured, on-the-job training, guided learning plans and leadership mentoring. Over the two-year program, you will experience two one-year rotations with placements in various roles, projects or CIMIC Group companies and be building your career.
For an overview of CIMIC Group click here.
Your future starts here!
UGL is a market leader in end-to-end asset solutions, delivering operational value and enhanced customer experiences through its whole-of-life offer for critical assets in power, water, resources, transport, defence and security, and social infrastructure.
UGL is now looking for a Data Science university student or recent Data Science graduate to commence work immediately and join our next Graduate Program commencing February 2023. You will be based in our People & Culture team in North Sydney.
Discipline:
Data Science
To be successful in this program, you will have the capability to:
Learn new skills, be flexible and adaptive
Work autonomously and as part of a team
Innovate and propose creative solutions
Communicate, advise and present confidently
Influence outcomes through excellent stakeholder engagement
Deliver high quality outcomes, be outcome driven and self-motivated
Relocate to various sites and projects, as required by program rotations
CIMIC Group is an equal opportunity employer, committed to diversity in the workplace.
Applications are open to all Australian citizens and permanent residents, and New Zealand citizens.
Discipline: Engineering
Primary Location: Australia-NSW-North Shore & Northern Beaches
Work Type: Full-time
Show Less",3.8,"UGL Limited
3.8",North Shore,5001 to 10000 Employees,1984,Subsidiary or Business Segment,Construction,"Construction, Repair & Maintenance Services",Unknown / Non-Applicable
Graduate Data Science - Brisbane (Corporate),$97K - $141K (Glassdoor Est.),"Job Number:
82295
Work type:
Permanent - Full Time
Location:
Brisbane
Categories:
Information Technology
Aurizon is seeking Graduates for our 2023 Graduate Campaign!
Our Graduates are permanent employees at Aurizon and this program provides an opportunity to develop technical and leadership capability across areas of our business. Graduates are offered diverse opportunities, flexibility, building of networks, professional challenges and a supportive career path in a top 100 ASX listed company. This program will build strong foundations for a successful future.
A dedicated mentor & supportive environment
Structured, individualised development program focused on both personal and professional skills
Graduate challenge, working in multi-disciplined teams presenting innovative solutions for Aurizon’s future
If candidates have already graduated there may be an opportunity to start at Aurizon earlier than January 2023.
Current Brisbane Opportunity- Graduate Data Science
As a Data Scientist Graduate you will be joining an established and high performing data, reporting and analytics team. This team comprises of data engineers, report developers and data scientists who work together to deliver real world business insights. The data science team has established a wide variety of solutions that harness machine learning, constraint modelling and neural networks which are used to deliver actionable insights and process automation. You will be supported by an experienced team of data scientists, as well as the wider data, reporting and analytics team, who will help the graduate elevate their skills to the next level. They will get opportunities to experiment on high volume sensor, GIS and enterprise data to further enrich their data scientist capabilities. We are also transitioning to our next generation analytics platform which will open the possibilities to the latest cutting-edge platforms.
You will develop and deliver innovative and comprehensive insights, undertake complex analysis, and implement advanced analytical capabilities that enable Aurizon to achieve it’s strategic, operational, and commercial objectives.
About Aurizon Graduates:
We are seeking Graduates who can build great leadership skills as well as develop their technical capability
Graduates who want to grow their career in Aurizon and are flexible to work in the regional communities where Aurizon operates
Have ambition and demonstrate both exceptional interpersonal and communication skills. Most importantly have the passion and drive to succeed
You must have successfully completed an undergraduate degree or higher qualification that is bachelor level or above, and completed your relevant qualification by December 2022
You must be an Australian Citizen, Australian Permanent Resident or New Zealand citizen who has entered Australia on a valid passport and has unrestricted rights to employment
Our Recruitment Process:
We pride ourselves on a recruitment process that is inclusive and one that allows our applicants multiple opportunities to shine. This process will potentially involve online testing, video screening, an assessment centre and pre-employment checks including reference checking and medical. Please monitor your emails (including your junk mail) so you do not miss out.
Benefits:
At Aurizon, we support the development and growth of our employees to reach their full potential. With a National portfolio of operations, we offer a diverse and inclusive environment with long term and exciting career opportunities. Some of our benefits include:
Development and growth opportunities
Access to female and Aboriginal and Torres Strait Islander mentoring programs
Discounts on selected health insurance funds, personal travel, gyms, vehicles and retail brands
Parental Leave Program and Super Booster
To learn about us and our company values visit www.aurizon.com.au/careers
Advertised: 26 Jul 2022 E. Australia Standard Time
Applications close: 09 Aug 2022 E. Australia Standard Time
Show Less",3.7,"Aurizon
3.7",Brisbane,1001 to 5000 Employees,2009,Company - Public,Taxi & Car Services,Transportation & Logistics,$2 to $5 billion (USD)
Consulting - Data & AI - 2022/23 Summer Vacationer Program (Canberra),$97K - $141K (Glassdoor Est.),"Date: 18-Jul-2022

Location:
Canberra, ACT, AU

Department: Consulting

Description:
Job Requisition ID: 24461

Be part of Australia’s largest cohort of Summer Vacationers – meaning you’ll have a community of other students to lean on and learn from!
Gain invaluable experience through a 3-8 week paid internship at a top-tier consulting firm
Get involved in real client work that’s meaningful and purpose-led, developing and building your skills along the way.

Our team’s goal is simple: to help our clients make data-driven decisions, and to automate processes wherever it makes the most sense. To sum it up, we help our clients work smarter.

What will you get to do?
Join our Data & AI team, you’ll get to work with emerging tech like robotics, intelligent automation, and machine learning to redesign knowledge-based work. Harness your creativity to design and implement next-gen solutions to help our clients better manage, protect, share and innovate with their data. By joining us, you’ll be trained on a variety of methods and tools including advanced visualisation, rapid prototyping, Natural Language Processing (NLP) and text analytics, real-time decisioning, machine learning, the list goes on. You’re probably look at that list and thinking – “I don’t know half of those things!” Well, that’s the point isn’t it? We’re here to train you. You just need to be hungry and willing to learn!

Your future starts with us.
Our team of experts are constantly curious and excited about combining our wonderful array of tech expertise to transform data into our clients’ most valuable assets, helping them work smarter. Our team is supported with resources, training and tools they need to excel at their work, along with the freedom and power to create their own paths forward to make a difference.

Enough about us, let’s talk about you.

You are someone who:
Has a STEM (Science, Tech, Engineering, Maths), or Business/Finance/Commerce background)

Thrives in collaborative environments

Enjoys working on ambiguous and fuzzy problems

Can think logically and laterally

If you’re nodding like crazy because this sounds exactly like you – apply now!

Why Deloitte?

At Deloitte, we create positively differentiated work experiences that enable our people to feel valued and achieve their full potential. Deloitte Australia opens the door to a career that can cross borders virtually and physically across Asia Pacific to gain experience and access projects beyond Australia’s borders. We value difference, and embrace people with diverse backgrounds, experiences, gender identities, abilities and thinking styles. Knowing that people work best in a variety of ways, we are happy to discuss alternative arrangements if the working pattern you are looking for is not specifically indicated.

We’re committed to continually building a safe and respectful workplace, where all our people feel appreciated and accepted. Through the creation of endorsed employee-led diversity networks which promote cultural, disability, LGBTI+, Aboriginal and Torres Strait Islander people and gender equality, we’re leading the way to shape an environment where everybody can thrive.

We are proud to have been recognised for our efforts in inspiring change and accelerating progress – check out our careers site for recent recognition in this space.
Show Less",4.0,"Deloitte
4.0",Canberra,10000+ Employees,1850,Company - Private,Accounting & Tax,Finance,$10+ billion (USD)
Data Scientist,$97K - $141K (Glassdoor Est.),"Maltem is a community of 1,200+ passionate individuals dedicated to innovation, new technologies, data, and digital transformation projects.
Founded in 2001 and located in 11 different countries, our footprint covers France, Singapore, Hong Kong, Vietnam, Luxembourg, Belgium, Madagascar, Morocco, US, Canada, and Australia. Our expertise consists of 18 years of market knowledge into the business organization, digital practices, agile, data management, and innovation.
Our Australian operations are growing rapidly, and we are partnering with local blue-chip and multinational companies on truly transformational engagements
About the Opportunity
We are looking for experienced data scientists to work on a range of projects for our clients.
Show More",3.8,"MALTEM Australia
3.8",Sydney,1001 to 5000 Employees,2001,Company - Private,Business Consulting,Management & Consulting,$50 to $100 million (USD)
Research Associate - Data Science,$97K - $141K (Glassdoor Est.),"Job no: 510607
Work type: Full time
Location: Sydney, NSW
Categories: Post Doctoral Research Associate
One of Australia’s leading research & teaching universities
Vibrant campus life with a strong sense of community & inclusion
Enjoy a career that makes a difference by collaborating with & learning from the best
At UNSW, we pride ourselves on being a workplace where the best people come to do their best work.
THIS ROLE IS LOCATED IN SYDNEY, AUSTRALIA.
The School of Mathematics and Statistics currently has more than sixty continuing academic staff and more than thirty research staff as well as visiting academics. UNSW is the only university in Australia to be ranked in the top 100 in the world in Mathematics and Statistics by each of the four ranking bodies: CWTS Leiden, ARWU, USNews, QS. The School embodies a broad range of research interests in the areas of applied and pure mathematics and statistics.
The role of Research Associate sits in the UNSW Data Science Hub located within the School of Mathematics & Statistics. The UNSW Data Science Hub is a major strategic initiative of UNSW Science. It aims to cultivate and promote foundational and applied research in Data Science with a focus on environmental, health, and business data challenges, and a Data for Good program. The Hub provides a world-class environment, with access to state-of-the-art data visualisation and computing facilities. These facilities enable the creation, development and deployment of transformative data-driven decision-making tools that help us to address future societal challenges.
The role works in close collaboration with leading scientists and engineers at Data61 and other CSIRO Business units as part of the Decision activity area of the Machine Learning and Artificial Intelligence Future Science Platform. The role is based at the UNSW Data Science Hub, UNSW Sydney Kensington Campus but will be required to perform some work at Data61, Eveleigh, NSW.
About the role
$98K - $107K plus 17% Superannuation and annual leave loading
Fixed Term – 22 months
Full-time (35 hours per week)
The role reports to the Director of the UNSW Data Science Hub and works closely with Professor Scott Sisson (UNSW) and Terry O’Kane (CSIRO). The role has no direct reports.
Specific responsibilities for this role include:
Conduct research in the theory, methods and application of complex statistical and machine learning techniques to geophysical climate data.
Investigate computational methodologies for dimension reduction, inferring latent patterns from time series data, employing latent entropy and dimension measures and identifying (conditionally) causal relationships between them.
Act as a conduit to efficiently draw together the expertise of researchers from both UNSW Sydney and Data61/CSIRO to best tackle the research challenges.
Perform research collaboratively and individually, which will lead to high quality research articles for publication in internationally refereed mathematics journals.
Initiate, implement and complete new research projects.
Present results of research at conferences and other venues.
Coordinate research activities and participate in the setting of future research directions of the project.
Satisfactory conduct of administrative and other duties allocated by the supervisor.
Participate in supervision of research postgraduate students.
Effectively engage with the broader scholarly community.
Align with and actively demonstrate the UNSW Values in Action: Our Behaviours and the UNSW Code of Conduct.
Cooperate with all health and safety policies and procedures of the university and take all reasonable care to ensure that your actions or omissions do not impact on the health and safety of yourself or others.
About the successful applicant
(Selection Criteria)
PhD or equivalent qualification in mathematics, statistics, physics or an alternative field with a strong mathematical and statistical background.
Strong knowledge and demonstrated ability in at least one of Bayesian statistics, computational statistics and machine learning methodology, including variational inference, Markov chain Monte Carlo methods, Gaussian processes, mixture modelling.
Familiarity with deep learning and different neural network architectures.
Superior ability to program in a high level language, such as Python, R, Java, Matlab or C++, with application of version control.
A strong research track record (relative to opportunity) as evidenced by publications in leading journals or conferences.
Capacity to initiate and conduct independent research.
A capacity to attract and effectively supervise research students.
Demonstrated capacity to interact successfully with the broader scholarly community and with both internal and external stakeholders.
Ability to work cooperatively in a team and contribute positively to research culture.
Proven ability to communicate effectively both verbally and in writing.
An understanding of and commitment to UNSW’s aims, objectives and values in action, together with relevant policies and guidelines.
Knowledge of health and safety responsibilities and commitment to attending relevant health and safety training.
Desirable but not compulsory:
Strong knowledge of manifold learning or topological data analysis.
Familiarity with data engineering and its interface with machine learning.
Experience with analysis of high dimensional multivariate multiscale data sets.
Familiarity with vector autoregressive processes with external factors.
Knowledge of (non-linear) dimension reduction methods.
You should systematically address the selection criteria listed above in your application.
Please apply online - applications will not be accepted if sent to the contact listed.
Contact:
Scott Sisson
E: scott.sisson@unsw.edu.au
Applications close: September 1st, 2022
Find out more about working at UNSW at www.unsw.edu.au
UNSW is committed to equity diversity and inclusion. Applications from women, people of culturally and linguistically diverse backgrounds, those living with disabilities, members of the LGBTIQ+ community; and people of Aboriginal and Torres Strait Islander descent, are encouraged. UNSW provides workplace adjustments for people with disability, and access to flexible work options for eligible staff. The University reserves the right not to proceed with any appointment.

Position Description
Advertised: 04 Aug 2022 AUS Eastern Standard Time
Applications close: 01 Sep 2022 AUS Eastern Standard Time
Show Less",4.2,"University of New South Wales
4.2",Sydney,1001 to 5000 Employees,1949,College / University,Colleges & Universities,Education,Unknown / Non-Applicable
Data Scientist,$97K - $141K (Glassdoor Est.),"Job description
Data Scientist Skills
Programming Skills – knowledge of statistical programming languages like R, Python, and database query languages like SQL, Hive, Pig is desirable. Familiarity with Scala, Java, or C++ is an added advantage.
Statistics – Good applied statistical skills, including knowledge of statistical tests, distributions, regression, maximum likelihood estimators, etc. Proficiency in statistics is essential for data-driven companies.
Machine Learning – good knowledge of machine learning methods like k-Nearest Neighbors, Naive Bayes, SVM, Decision Forests.
Strong Math Skills (Multivariable Calculus and Linear Algebra) - understanding the fundamentals of Multivariable Calculus and Linear Algebra is important as they form the basis of a lot of predictive performance or algorithm optimization techniques.
Data Wrangling – proficiency in handling imperfections in data is an important aspect of a data scientist job description.
Experience with Data Visualization Tools like matplotlib, ggplot, d3.js., Tableau that help to visually encode data
Excellent Communication Skills – it is incredibly important to describe findings to a technical and non-technical audience.
Strong Software Engineering Background
Hands-on experience with data science tools
Problem-solving aptitude
Analytical mind and great business sense
Degree in Computer Science, Engineering or relevant field is preferred
Proven Experience as Data Analyst or Data Scientist
Job Type: Full-time
Salary: $110,000.00 – $140,000.00 per year
Schedule:
8 hour shift
Ability to commute/relocate:
Sydney NSW: Reliably commute or planning to relocate before starting work (Required)
Application Question(s):
Salary Expectation
Notice period
Visa status/Working rights
Personal Email
Experience:
Data Scientist: 4 years (Preferred)
Show Less",-1,GoTech Solutions Pty Ltd,Sydney,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Junior Data Analyst - Western Public Health Unit,$97K - $141K (Glassdoor Est.),"Job Description
Location: Melbourne | Western Metropolitan
Job type: Not provided
Organisation: Western Health
Salary: Salary not specified
Occupation: Health and Allied Health
Reference: 46631
A unique opportunity exists to join the Western Public Health Unit in the role of Junior Data Analyst.

The Western Public Health Unit (WPHU) has been established to strengthen the public health response to infectious diseases and other health issues in the Western metropolitan region of Melbourne. The Unit is part of a system of three metropolitan Public Health Units; WPHU, North-eastern (NEPHU), South-eastern (SEPHU) and six regional Public Health Units to provide a new state-wide system of public health delivery and oversight. WPHU is currently responsible for COVID-related public health control activities and is taking on increasing responsibility for other communicable disease and health promotion activities, as part of the State’s overall public health response.

The Junior Data Analyst is a member of the Data, Epidemiology and Surveillance (DES) team. The role reports to the Lead Epidemiologist, will work closely with and under the direction of the Data Analyst, and will involve some supervision of activities undertaken by Data Assurance Officers.

To be successful in this role you:

Will provide data management, report development, analytical and data visualisation support to the Western Public Health Unit, during a dynamic time in which the unit expands beyond COVID-19 public health control to other communicable diseases and health promotion.

Will have excellent data management and problem skills, a strong eye for detail, and the ability to apply your analytical and critical thinking skills under pressure

Will be developing your skills in quantitative analysis and data visualisation and the use of software such as PBI and R, and can learn quickly to develop new skills in this area

Will use your strong communication skills to train and support other staff in data management and be able to translate operational and research questions into analytic projects.

Need a relevant tertiary qualification in data science, analytics, public health, or health informatics, and/or proven success in a similar role.

Role specifications

Full time temprorary position until 30 June 2023

Remuneration: HS3 rate plus superannuation and salary packaging tax benefits. Employment prior to 30 September 2022 will also attract the State Government Winter Worker payment of up to $3,000.

About Us

Our workforce of over 11,000 employees is driven by our values of ‘Compassion, Accountability, Respect, Excellence and Safety’ (CARES). We value our people and provide them the opportunity to grow and develop. Our teams are friendly and supportive, ensuring we deliver a safe, person-centred and connected patient experience.

Western Health is in a period of rapid growth. Our services comprise of four acute public hospitals: Footscray Hospital, Sunshine Hospital (including Joan Kirner Women's and Children's), Williamstown Hospital and Bacchus Marsh & Melton Hospital. We also operate Sunbury Day Hospital, Hazeldean, Grant Lodge Residential Aged Care, as well as community health centres in Melton, Caroline Springs and Bacchus Marsh and a range of community-based services. We care for a diverse community of more than 1 million people with complex care needs ranging from Neonates to Geriatrics.

Our employees enjoy a wide range of benefits such as:

Professional development support

Career advancement opportunities

Salary packaging including novated vehicle leasing

Work-life balance


Western Health is an equal opportunity employer committed to attracting and retaining diversity in our workforce. We encourage applications from Aboriginal and Torres Strait Islander people.

Western Health is committed to providing a safe environment for the children and young people who are involved in our services, sites and operations. We follow and abide by all legislative requirements to keep children and young people safe.

All appointments are made subject to a satisfactory Police Record Check, an Immunisation status clearance (including evidence of COVID 19 vaccination) and (if applicable) a Working with Children’s Check.

Western Health do not accept unsolicited resumes/applications from Recruitment Agencies.
Show Less",3.9,"Western Health
3.9",Melbourne,5001 to 10000 Employees,-1,Hospital,-1,-1,Unknown / Non-Applicable
Data Masking Specialist,$97K - $141K (Glassdoor Est.),"About Us :
GOSOL, IT consulting and Staffing organization, can help you enhance Technology, Digital, Project and Business Transformation. Guided by integrity and trust, we believe in offering an unparalleled experience as your Tech of choice. For businesses, this means providing you with access to the quality solution.
Find us at - https://gosol.com.au/
Job Description
Roles& Responsiblities:
Qualification in Computer Science or similar discipline

Show More",-1,GoTech Solutions Pty Ltd,Melbourne,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Data Masking Specialist,$97K - $141K (Glassdoor Est.),"Skill : Delphi
Minimum Experience : 5 - 8 Years
Location : Melbourne
Job Description
Tertiary qualification in Computer Science or similar discipline
* Must have a minimum of 2 years data profiling and masking experience
* Must have experience with Delphi or similar data masking tools
* Must have working knowledge and practical SQL experience with MS SQL Server and/or Oracle
* Must have working knowledge and practical experience with tools like SQL Server Management Studio and TOAD
* Excellent communication skills, self-motivated with the ability to work in a team as well as take individual responsibility
* Sound stakeholder management and communication skills
* Possess the ability to think strategically
* Broad knowledge of other related technical disciplines: dynamic and static data masking, platforms capacity, performance management, API's etc
* Sound knowledge of the reasoning for data masking – Privacy Act 1988, APRA CPS 234, GDPR
Job Type: Full-time
Salary: $90,000.00 – $120,000.00 per year
Schedule:
8 hour shift
Ability to commute/relocate:
Melbourne VIC: Reliably commute or planning to relocate before starting work (Required)
Application Question(s):
How many years of experience do you have or notice period?
Must be Australian citizen/permanent resident?
This role is for TCS ,are you intrested?
Work Authorisation:
Australia (Preferred)
Show Less",3.9,"Tata Consultancy Services (TCS)
3.9",Melbourne,10000+ Employees,1968,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
Maximo Data Migration,$97K - $141K (Glassdoor Est.),"GoTech Solutions (GoSol) is an established business in IT Consulting and Staffing solutions. We are seeking multiple full time / contract Developer Programmers to be based in Sydney, Perth and Melbourne for our clients. Candidates are required to have experience in development and testing, and the ability to manage various teams including technical and functional offshore consulting teams for smooth implementation of changes and roll-outs.
These roles are for multiple projects running concurrently in Sydney, Perth and Melbourne. Salary offered will be proportionate to the skills and experience of the candidate and city.
Key Responsibilities which are expected to be performed for the Position
· Should have performed more than 2 Maximo 7.6 implementations, with experience in implementing Maximo Utilities, GIS, WFM integrations
· Perform Data mapping -Legacy vs Maximo system and Data migration using Maximo Integration Framework
· Perform data mapping towards functional fitment of To-Be solution
· Proficiency in MxLoader Version 8.3.x and perform data validation and/or data rejection through Automation Scripting
· Perform program-driven batch based dependency management with automated data load
· Manage balance-of-workload crisis through personal involvement and self-invested hands-on in the project hotspot (skin-in-the-game)
· Produce reconciliation reports (both quantitative and qualitative)
· Design multi-dimensional migration approach based on myriad parameters of volumetrics, data quality, divergence model between As-Is and To-Be
· Able to distinguish between data cleansing, data remediation and data profiling
· Coordinate for the assigned work with the onsite and offshore team
· Deliver the assigned tasks within schedule and with quality
Preferable / Secondary Skills
· Maximo Configuration -Workflow, Automation Scripts, MIF, Start Centers, KPIs, Field Level Validations
· Perform customization of Maximo application functionality
· Coordinate with Customer’s Business, IT and Architect team to resolve the open issues
· Analyze customer business requirements and architect solutions in Maximo
· Design and develop interfaces between Maximo and external systems.
· WAM Domain experience in Utility Industry
· Experience in conducting Business Process Workshops and perform Maximo fit gap analysis
· Anchor discussions around functional specifications and translate into Maximo requirements
Qualifications: Bachelor’s Degree in information technology or Computer Science Engineering or others
Technical Skills: Maximo 7.6.1.2, Oracle DB, Java, API, Integrations
Job Type: Full-time
Salary: $70,000.00 – $90,000.00 per year
Schedule:
8 hour shift
Application Question(s):
Salary Expectation
Visa Status / Working Rights
Notice Period
Personal Email
Experience:
Maximo Data Migration: 5 years (Preferred)
Show Less",-1,GoTech Solutions Pty Ltd,Sydney,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
